# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBlowR9scale        0.0007     0.0422     0.0000    
EBlowR9smear        0.0001     0.0473     0.0000    
EBhighR9scale       0.0010     0.0608     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0012     0.2153     0.0001    
EEhighR9smear       0.0006     0.1973     0.0002    

diphotonCat=12
proc=tth
EBlowR9scale        0.0009     0.0079     0.0005    
EBlowR9smear        0.0000     0.0024     0.0000    
EBhighR9scale       0.0016     0.0222     0.0005    
EBhighR9smear       0.0000     0.0052     0.0002    
EElowR9scale        0.0001     0.0031     0.0001    
EElowR9smear        0.0000     0.0023     0.0002    
EEhighR9scale       0.0007     0.0135     0.0005    
EEhighR9smear       0.0000     0.0255     0.0001    

diphotonCat=13
proc=ggh
EBlowR9scale        0.0010     0.0496     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0020     0.0991     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0014     0.0000     0.0000    
EEhighR9smear       0.0006     0.0000     0.0000    

diphotonCat=13
proc=vbf
EBlowR9scale        0.0012     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0016     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0002     0.0000     0.0000    
EElowR9smear        0.0002     0.0000     0.0000    
EEhighR9scale       0.0004     0.1709     0.0000    
EEhighR9smear       0.0002     0.0869     0.0000    

diphotonCat=13
proc=wh
EBlowR9scale        0.0008     0.0153     0.0000    
EBlowR9smear        0.0002     0.0631     0.0000    
EBhighR9scale       0.0016     0.1036     0.0000    
EBhighR9smear       0.0000     0.0073     0.0000    
EElowR9scale        0.0008     0.1000     0.0000    
EElowR9smear        0.0000     0.0200     0.0000    
EEhighR9scale       0.0004     0.1005     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=13
proc=zh
EBlowR9scale        0.0012     0.0589     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0016     0.0654     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0002     0.0000     0.0000    
EElowR9smear        0.0002     0.0000     0.0000    
EEhighR9scale       0.0015     0.0233     0.0000    
EEhighR9smear       0.0006     0.0000     0.0000    

diphotonCat=13
proc=tth
EBlowR9scale        0.0009     0.0085     0.0002    
EBlowR9smear        0.0000     0.0019     0.0000    
EBhighR9scale       0.0016     0.0220     0.0002    
EBhighR9smear       0.0000     0.0058     0.0001    
EElowR9scale        0.0001     0.0014     0.0001    
EElowR9smear        0.0000     0.0027     0.0000    
EEhighR9scale       0.0006     0.0066     0.0002    
EEhighR9smear       0.0000     0.0194     0.0002    

diphotonCat=14
proc=ggh
EBlowR9scale        0.0011     0.0348     0.0070    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0014     0.0659     0.0070    
EBhighR9smear       0.0001     0.0000     0.0000    
EElowR9scale        0.0001     0.0235     0.0000    
EElowR9smear        0.0001     0.0235     0.0000    
EEhighR9scale       0.0009     0.0442     0.0086    
EEhighR9smear       0.0001     0.0459     0.0086    

diphotonCat=14
proc=vbf
EBlowR9scale        0.0011     0.0436     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0015     0.0340     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0001     0.0055     0.0000    
EEhighR9scale       0.0010     0.0876     0.0000    
EEhighR9smear       0.0003     0.0311     0.0000    

diphotonCat=14
proc=wh
EBlowR9scale        0.0009     0.0181     0.0000    
EBlowR9smear        0.0000     0.0009     0.0000    
EBhighR9scale       0.0017     0.0166     0.0007    
EBhighR9smear       0.0000     0.0094     0.0004    
EElowR9scale        0.0001     0.0023     0.0000    
EElowR9smear        0.0000     0.0017     0.0005    
EEhighR9scale       0.0009     0.0187     0.0004    
EEhighR9smear       0.0001     0.0569     0.0004    

diphotonCat=14
proc=zh
EBlowR9scale        0.0008     0.0072     0.0008    
EBlowR9smear        0.0000     0.0007     0.0000    
EBhighR9scale       0.0016     0.0119     0.0054    
EBhighR9smear       0.0000     0.0101     0.0000    
EElowR9scale        0.0001     0.0021     0.0000    
EElowR9smear        0.0000     0.0063     0.0000    
EEhighR9scale       0.0007     0.0025     0.0008    
EEhighR9smear       0.0001     0.0240     0.0013    

diphotonCat=14
proc=tth
EBlowR9scale        0.0008     0.0083     0.0010    
EBlowR9smear        0.0000     0.0044     0.0000    
EBhighR9scale       0.0018     0.0052     0.0000    
EBhighR9smear       0.0000     0.0074     0.0000    
EElowR9scale        0.0001     0.0052     0.0000    
EElowR9smear        0.0000     0.0059     0.0000    
EEhighR9scale       0.0007     0.0124     0.0017    
EEhighR9smear       0.0000     0.0335     0.0010    

